track_id,attributes,custom_attributes,loaded_at
3sK8wGT43QFpWrvNQsrQya,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb""}, ""href"": ""https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb"", ""id"": ""5K79FLRUCSysQnVESLcTdb"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""DeB\u00cd TiRAR M\u00e1S FOToS"", ""release_date"": ""2025-01-05"", ""release_date_precision"": ""day"", ""total_tracks"": 17, ""type"": ""album"", ""uri"": ""spotify:album:5K79FLRUCSysQnVESLcTdb""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""disc_number"": 1, ""duration_ms"": 237117, ""explicit"": true, ""external_ids"": {""isrc"": ""QMFMF2447070""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya""}, ""href"": ""https://api.spotify.com/v1/tracks/3sK8wGT43QFpWrvNQsrQya"", ""id"": ""3sK8wGT43QFpWrvNQsrQya"", ""is_local"": false, ""is_playable"": true, ""name"": ""DtMF"", ""popularity"": 97, ""preview_url"": null, ""track_number"": 16, ""type"": ""track"", ""uri"": ""spotify:track:3sK8wGT43QFpWrvNQsrQya""}","{""rank_in_artist"": 1}",2025-06-10
2lTm559tuIvatlT1u0JYG2,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb""}, ""href"": ""https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb"", ""id"": ""5K79FLRUCSysQnVESLcTdb"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""DeB\u00cd TiRAR M\u00e1S FOToS"", ""release_date"": ""2025-01-05"", ""release_date_precision"": ""day"", ""total_tracks"": 17, ""type"": ""album"", ""uri"": ""spotify:album:5K79FLRUCSysQnVESLcTdb""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""disc_number"": 1, ""duration_ms"": 367725, ""explicit"": true, ""external_ids"": {""isrc"": ""QMFMF2447057""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2""}, ""href"": ""https://api.spotify.com/v1/tracks/2lTm559tuIvatlT1u0JYG2"", ""id"": ""2lTm559tuIvatlT1u0JYG2"", ""is_local"": false, ""is_playable"": true, ""name"": ""BAILE INoLVIDABLE"", ""popularity"": 96, ""preview_url"": null, ""track_number"": 3, ""type"": ""track"", ""uri"": ""spotify:track:2lTm559tuIvatlT1u0JYG2""}","{""rank_in_artist"": 2}",2025-06-10
6J5kc12BW5HuP3d7C3vvx8,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb""}, ""href"": ""https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb"", ""id"": ""5K79FLRUCSysQnVESLcTdb"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""DeB\u00cd TiRAR M\u00e1S FOToS"", ""release_date"": ""2025-01-05"", ""release_date_precision"": ""day"", ""total_tracks"": 17, ""type"": ""album"", ""uri"": ""spotify:album:5K79FLRUCSysQnVESLcTdb""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""disc_number"": 1, ""duration_ms"": 204768, ""explicit"": true, ""external_ids"": {""isrc"": ""QMFMF2447069""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/6J5kc12BW5HuP3d7C3vvx8""}, ""href"": ""https://api.spotify.com/v1/tracks/6J5kc12BW5HuP3d7C3vvx8"", ""id"": ""6J5kc12BW5HuP3d7C3vvx8"", ""is_local"": false, ""is_playable"": true, ""name"": ""EoO"", ""popularity"": 94, ""preview_url"": null, ""track_number"": 15, ""type"": ""track"", ""uri"": ""spotify:track:6J5kc12BW5HuP3d7C3vvx8""}","{""rank_in_artist"": 3}",2025-06-10
5TFD2bmFKGhoCRbX61nXY5,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb""}, ""href"": ""https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb"", ""id"": ""5K79FLRUCSysQnVESLcTdb"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""DeB\u00cd TiRAR M\u00e1S FOToS"", ""release_date"": ""2025-01-05"", ""release_date_precision"": ""day"", ""total_tracks"": 17, ""type"": ""album"", ""uri"": ""spotify:album:5K79FLRUCSysQnVESLcTdb""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""disc_number"": 1, ""duration_ms"": 183685, ""explicit"": false, ""external_ids"": {""isrc"": ""QMFMF2447055""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5""}, ""href"": ""https://api.spotify.com/v1/tracks/5TFD2bmFKGhoCRbX61nXY5"", ""id"": ""5TFD2bmFKGhoCRbX61nXY5"", ""is_local"": false, ""is_playable"": true, ""name"": ""NUEVAYoL"", ""popularity"": 94, ""preview_url"": null, ""track_number"": 1, ""type"": ""track"", ""uri"": ""spotify:track:5TFD2bmFKGhoCRbX61nXY5""}","{""rank_in_artist"": 4}",2025-06-10
59D4DOkspUbWyMmbAPQkxZ,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb""}, ""href"": ""https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb"", ""id"": ""5K79FLRUCSysQnVESLcTdb"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""DeB\u00cd TiRAR M\u00e1S FOToS"", ""release_date"": ""2025-01-05"", ""release_date_precision"": ""day"", ""total_tracks"": 17, ""type"": ""album"", ""uri"": ""spotify:album:5K79FLRUCSysQnVESLcTdb""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""disc_number"": 1, ""duration_ms"": 156364, ""explicit"": true, ""external_ids"": {""isrc"": ""QMFMF2447056""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/59D4DOkspUbWyMmbAPQkxZ""}, ""href"": ""https://api.spotify.com/v1/tracks/59D4DOkspUbWyMmbAPQkxZ"", ""id"": ""59D4DOkspUbWyMmbAPQkxZ"", ""is_local"": false, ""is_playable"": true, ""name"": ""VOY A LLeVARTE PA PR"", ""popularity"": 93, ""preview_url"": null, ""track_number"": 2, ""type"": ""track"", ""uri"": ""spotify:track:59D4DOkspUbWyMmbAPQkxZ""}","{""rank_in_artist"": 5}",2025-06-10
7d6yK8v8J484SWH5prIQiE,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb""}, ""href"": ""https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb"", ""id"": ""5K79FLRUCSysQnVESLcTdb"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""DeB\u00cd TiRAR M\u00e1S FOToS"", ""release_date"": ""2025-01-05"", ""release_date_precision"": ""day"", ""total_tracks"": 17, ""type"": ""album"", ""uri"": ""spotify:album:5K79FLRUCSysQnVESLcTdb""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3E12tRURRvPfHz0hAMCFYc""}, ""href"": ""https://api.spotify.com/v1/artists/3E12tRURRvPfHz0hAMCFYc"", ""id"": ""3E12tRURRvPfHz0hAMCFYc"", ""name"": ""Omar Courtz"", ""type"": ""artist"", ""uri"": ""spotify:artist:3E12tRURRvPfHz0hAMCFYc""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2YRyPiW98bpkARAS4B3OQP""}, ""href"": ""https://api.spotify.com/v1/artists/2YRyPiW98bpkARAS4B3OQP"", ""id"": ""2YRyPiW98bpkARAS4B3OQP"", ""name"": ""Dei V"", ""type"": ""artist"", ""uri"": ""spotify:artist:2YRyPiW98bpkARAS4B3OQP""}], ""disc_number"": 1, ""duration_ms"": 235336, ""explicit"": true, ""external_ids"": {""isrc"": ""QMFMF2447060""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/7d6yK8v8J484SWH5prIQiE""}, ""href"": ""https://api.spotify.com/v1/tracks/7d6yK8v8J484SWH5prIQiE"", ""id"": ""7d6yK8v8J484SWH5prIQiE"", ""is_local"": false, ""is_playable"": true, ""name"": ""VeLD\u00c1"", ""popularity"": 92, ""preview_url"": null, ""track_number"": 6, ""type"": ""track"", ""uri"": ""spotify:track:7d6yK8v8J484SWH5prIQiE""}","{""rank_in_artist"": 6}",2025-06-10
0l0vcZMU7AOeQmUIREoI2U,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq""}, ""href"": ""https://api.spotify.com/v1/artists/1mcTU81TzQhprhouKaTkpq"", ""id"": ""1mcTU81TzQhprhouKaTkpq"", ""name"": ""Rauw Alejandro"", ""type"": ""artist"", ""uri"": ""spotify:artist:1mcTU81TzQhprhouKaTkpq""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/0aX0UXrHG2ceYIxTQcqJdA""}, ""href"": ""https://api.spotify.com/v1/albums/0aX0UXrHG2ceYIxTQcqJdA"", ""id"": ""0aX0UXrHG2ceYIxTQcqJdA"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02ed432d7df981360768dd5856"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851ed432d7df981360768dd5856"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""Cosa Nuestra"", ""release_date"": ""2024-11-15"", ""release_date_precision"": ""day"", ""total_tracks"": 18, ""type"": ""album"", ""uri"": ""spotify:album:0aX0UXrHG2ceYIxTQcqJdA""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq""}, ""href"": ""https://api.spotify.com/v1/artists/1mcTU81TzQhprhouKaTkpq"", ""id"": ""1mcTU81TzQhprhouKaTkpq"", ""name"": ""Rauw Alejandro"", ""type"": ""artist"", ""uri"": ""spotify:artist:1mcTU81TzQhprhouKaTkpq""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""disc_number"": 1, ""duration_ms"": 191018, ""explicit"": true, ""external_ids"": {""isrc"": ""USQX92404984""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/0l0vcZMU7AOeQmUIREoI2U""}, ""href"": ""https://api.spotify.com/v1/tracks/0l0vcZMU7AOeQmUIREoI2U"", ""id"": ""0l0vcZMU7AOeQmUIREoI2U"", ""is_local"": false, ""is_playable"": true, ""name"": ""Qu\u00e9 Pasar\u00eda..."", ""popularity"": 91, ""preview_url"": null, ""track_number"": 3, ""type"": ""track"", ""uri"": ""spotify:track:0l0vcZMU7AOeQmUIREoI2U""}","{""rank_in_artist"": 7}",2025-06-10
4MUrUT38U98olfnyzMBCzm,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb""}, ""href"": ""https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb"", ""id"": ""5K79FLRUCSysQnVESLcTdb"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""DeB\u00cd TiRAR M\u00e1S FOToS"", ""release_date"": ""2025-01-05"", ""release_date_precision"": ""day"", ""total_tracks"": 17, ""type"": ""album"", ""uri"": ""spotify:album:5K79FLRUCSysQnVESLcTdb""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""disc_number"": 1, ""duration_ms"": 199114, ""explicit"": true, ""external_ids"": {""isrc"": ""QMFMF2447064""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/4MUrUT38U98olfnyzMBCzm""}, ""href"": ""https://api.spotify.com/v1/tracks/4MUrUT38U98olfnyzMBCzm"", ""id"": ""4MUrUT38U98olfnyzMBCzm"", ""is_local"": false, ""is_playable"": true, ""name"": ""KLOuFRENS"", ""popularity"": 90, ""preview_url"": null, ""track_number"": 10, ""type"": ""track"", ""uri"": ""spotify:track:4MUrUT38U98olfnyzMBCzm""}","{""rank_in_artist"": 8}",2025-06-10
0fea68AdmYNygeTGI4RC18,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5""}, ""href"": ""https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5"", ""id"": ""1vyhD5VmyZ7KMfW5gqLgo5"", ""name"": ""J Balvin"", ""type"": ""artist"", ""uri"": ""spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/6ylFfzx32ICw4L1A7YWNLN""}, ""href"": ""https://api.spotify.com/v1/albums/6ylFfzx32ICw4L1A7YWNLN"", ""id"": ""6ylFfzx32ICw4L1A7YWNLN"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e024891d9b25d8919448388f3bb"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""OASIS"", ""release_date"": ""2019-06-28"", ""release_date_precision"": ""day"", ""total_tracks"": 8, ""type"": ""album"", ""uri"": ""spotify:album:6ylFfzx32ICw4L1A7YWNLN""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5""}, ""href"": ""https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5"", ""id"": ""1vyhD5VmyZ7KMfW5gqLgo5"", ""name"": ""J Balvin"", ""type"": ""artist"", ""uri"": ""spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""disc_number"": 1, ""duration_ms"": 242573, ""explicit"": false, ""external_ids"": {""isrc"": ""USUM71911618""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18""}, ""href"": ""https://api.spotify.com/v1/tracks/0fea68AdmYNygeTGI4RC18"", ""id"": ""0fea68AdmYNygeTGI4RC18"", ""is_local"": false, ""is_playable"": true, ""name"": ""LA CANCI\u00d3N"", ""popularity"": 90, ""preview_url"": null, ""track_number"": 5, ""type"": ""track"", ""uri"": ""spotify:track:0fea68AdmYNygeTGI4RC18""}","{""rank_in_artist"": 9}",2025-06-10
5WEF0icHWmAZBBMglBd599,"{""album"": {""album_type"": ""album"", ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}], ""external_urls"": {""spotify"": ""https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb""}, ""href"": ""https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb"", ""id"": ""5K79FLRUCSysQnVESLcTdb"", ""images"": [{""url"": ""https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411"", ""height"": 640, ""width"": 640}, {""url"": ""https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411"", ""height"": 300, ""width"": 300}, {""url"": ""https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411"", ""height"": 64, ""width"": 64}], ""is_playable"": true, ""name"": ""DeB\u00cd TiRAR M\u00e1S FOToS"", ""release_date"": ""2025-01-05"", ""release_date_precision"": ""day"", ""total_tracks"": 17, ""type"": ""album"", ""uri"": ""spotify:album:5K79FLRUCSysQnVESLcTdb""}, ""artists"": [{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X""}, ""href"": ""https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X"", ""id"": ""4q3ewBCX7sLwd24euuV69X"", ""name"": ""Bad Bunny"", ""type"": ""artist"", ""uri"": ""spotify:artist:4q3ewBCX7sLwd24euuV69X""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/6wF1Cz760dpdbX9RJIDpQW""}, ""href"": ""https://api.spotify.com/v1/artists/6wF1Cz760dpdbX9RJIDpQW"", ""id"": ""6wF1Cz760dpdbX9RJIDpQW"", ""name"": ""Chuwi"", ""type"": ""artist"", ""uri"": ""spotify:artist:6wF1Cz760dpdbX9RJIDpQW""}], ""disc_number"": 1, ""duration_ms"": 187507, ""explicit"": false, ""external_ids"": {""isrc"": ""QMFMF2447059""}, ""external_urls"": {""spotify"": ""https://open.spotify.com/track/5WEF0icHWmAZBBMglBd599""}, ""href"": ""https://api.spotify.com/v1/tracks/5WEF0icHWmAZBBMglBd599"", ""id"": ""5WEF0icHWmAZBBMglBd599"", ""is_local"": false, ""is_playable"": true, ""name"": ""WELTiTA"", ""popularity"": 89, ""preview_url"": null, ""track_number"": 5, ""type"": ""track"", ""uri"": ""spotify:track:5WEF0icHWmAZBBMglBd599""}","{""rank_in_artist"": 10}",2025-06-10
